No;Dapil;Alamat;Kelurahan;Usulan;Jenis;Status
15;1;Jl. Cempaka Putih Barat XXV;CEMPAKA PUTIH BARAT;Pelayanan kesehatan untuk pasien yang memakai BPJS kurang mengenakan;Tanggapan;Divalidasi
16;1;Jl. Cempaka Putih Barat XXV;CEMPAKA PUTIH BARAT;BPNT dan PKH yang dapat itu-itu lagi mohon infonya agar bisa mendapatkan sebagaimana mestinya;Tanggapan;Divalidasi
17;1;Jl. Cempaka Putih Barat XXV;CEMPAKA PUTIH BARAT;PIP tidak ada informasinya sudah tutup atau buka;Tanggapan;Divalidasi
18;1;Jl. Cempaka Putih Barat XXV;CEMPAKA PUTIH BARAT;KJP Banyak yang bilang tidak berkelanjutan;Tanggapan;Divalidasi
19;1;Jl. Percetakan Negara II;JOHAR BARU;Kenapa tiba-tiba KJP punya beberapa warga diputus;Tanggapan;Divalidasi
20;1;Jl. Percetakan Negara II;JOHAR BARU;Untuk menanggulangi tauran di wilayah khususnya Rw 06 bagaimana pembinaan kepada kepemudaan?;Usulan Kegiatan;Divalidasi
21;1;Jl. Percetakan Negara II;JOHAR BARU;Tata cara menanggulangi kebakaran sekarang sudah tidak di sosialisasikan lagi oleh RW;Tanggapan;Divalidasi
22;1;Jl. Percetakan Negara II;JOHAR BARU;bantuan untuk merenovasi kantor sekretariat;Usulan Kegiatan;Divalidasi
23;1;Jl. Percetakan Negara II;JOHAR BARU;Ada lahan yang masih aktif tapi memprihatinkan sudah rusak, dan masih di gunakan harusnya dapat bantuan;Usulan Kegiatan;Divalidasi
24;1;Jl. Rawa Selatan 2;KAMPUNG RAWA;Bantuan untuk masalah air bersih;Usulan Kegiatan;Divalidasi
25;1;Jl. Rawa Selatan 2;KAMPUNG RAWA;Saran untuk pemasangan CCTV di wilayah Rw 05, untuk mengetahui pada saat terjadi tawuran/curanmor;Saran;Divalidasi
26;1;Jl. Rawa Selatan 2;KAMPUNG RAWA;Susahnya untuk mendapatkan BPJS sekarang;Tanggapan;Divalidasi
27;1;Jl. Rawa Selatan 2;KAMPUNG RAWA;Permohonan bantuan dan alat untuk menunjang pendidikan;Usulan Kegiatan;Divalidasi
28;1;Cempaka Putih Barat XIV;CEMPAKA PUTIH BARAT;Permohonan bola (volley, basket, futsal);Usulan Kegiatan;Divalidasi
29;1;Cempaka Putih Barat XIV;CEMPAKA PUTIH BARAT;Minta seragam mengajar;Usulan Kegiatan;Divalidasi
30;1;Cempaka Putih Barat XIV;CEMPAKA PUTIH BARAT;Minta bantuan untuk pendidikan;Usulan Kegiatan;Divalidasi
31;1;Cempaka Putih Barat XIV;CEMPAKA PUTIH BARAT;Minta bantuan;Usulan Kegiatan;Divalidasi
32;1;Cempaka Putih Barat XIV;CEMPAKA PUTIH BARAT;Perpustakaan bergerak harus ada di jakarta;Usulan Kegiatan;Divalidasi
33;1;Tanah Tinggi IA;TANAH TINGGI;BPNT, Permohonan agar mendapat kembali;Usulan Kegiatan;Divalidasi
34;1;Tanah Tinggi IA;TANAH TINGGI;Permintaan (Net volley), (Bola, Futsal, dll);Usulan Kegiatan;Divalidasi
35;1;Tanah Tinggi IA;TANAH TINGGI;Permintaan untuk kegiatan (dana tambahan);Usulan Kegiatan;Divalidasi
36;1;Tanah Tinggi IA;TANAH TINGGI;PIP ada yang dapat ada yg tidak;Tanggapan;Divalidasi
37;1;Jl. Kramat Pulo Gg. 9 No. Blok B;KRAMAT;PPDB Jangan dipersulit;Usulan Kegiatan;Divalidasi
38;1;Jl. Kramat Pulo Gg. 9 No. Blok B;KRAMAT;KJP bantuan dengan peraturan baru harus bawa KTP;Usulan Kegiatan;Divalidasi
39;1;Jl. Kramat Pulo Gg. 9 No. Blok B;KRAMAT;BPJS seharusnya diperkenankan oleh orang yang menerima gaji UMR;Saran;Divalidasi
40;1;Jl. Kramat Pulo Gg. 9 No. Blok B;KRAMAT;Permintaan kaos untuk karang taruna;Usulan Kegiatan;Divalidasi
41;1;Jl. Anyer;MENTENG;Permohonan 15 unit meja, bangku, dan mainan anak-anak untuk menunjang kegiatan belajar mengajar di PAUD;Usulan Kegiatan;Divalidasi
42;1;Jl. Anyer;MENTENG;Permohonan penyediaan air bersih;Usulan Kegiatan;Divalidasi
43;1;Jl. Anyer  No. 18;MENTENG;Permohonan tempat untuk mengisi acara marawis, rebana, dan hadroh;Usulan Kegiatan;Divalidasi
44;1;Jl. Anyer  No. 18;MENTENG;Banyak daerah yang blum punya BPJS;Tanggapan;Divalidasi
45;1;Jl. Anyer No.18;MENTENG;BPJS belum tersebar;Tanggapan;Divalidasi
46;1;Jl. Anyer;MENTENG;KJP dan PIP banyak yg belum;Tanggapan;Divalidasi
47;1;Jl. Anyer;MENTENG;Kartu lansia banyak yg belum mendapatkan, dan mekanisme untuk mendapatkan kartu lansia;Usulan Kegiatan;Divalidasi
48;1;Jl. Anyer 16;MENTENG;Pendidikan (Paket c);Usulan Kegiatan;Divalidasi
49;1;Jl. Anyer 16;MENTENG;Renovasi pembangunan mushollah;Usulan Kegiatan;Divalidasi
50;1;Jl. Petamburan VI;PETAMBURAN;Mengusulkan benda yang digunakan untuk kebudayaan;Usulan Kegiatan;Divalidasi
51;1;Jl. Petamburan VI;PETAMBURAN;Permohonan alat kesehatan untuk lansia;Usulan Kegiatan;Divalidasi
52;1;Jl. Petamburan VI;PETAMBURAN;Perpustakaan dapat menyatu dengan masyarakat agar masyarakat yg awam dalam hal ini dapat mengerti;Saran;Divalidasi
53;1;Jl. Petamburan VI;PETAMBURAN;Permohonan untuk bantuan KJP;Usulan Kegiatan;Divalidasi
54;1;Jl. Petamburan VI;PETAMBURAN;Ajuan yang sudah ter realisasi dapat disimpan di kelurahan/kecamatan;Usulan Kegiatan;Divalidasi
55;1;Jl. Petamburan VI;PETAMBURAN;KJP, dengan mudah didapatkan;Usulan Kegiatan;Divalidasi
56;1;Jl. Petamburan VI;PETAMBURAN;Mengajui alat alat kebudayaan dari RW;Usulan Kegiatan;Divalidasi
57;1;Jl. Petamburan VI;PETAMBURAN;Kebutuhan alat untuk 17-agustus;Usulan Kegiatan;Divalidasi
58;1;Jl. Petamburan VI;PETAMBURAN;Saran dari RW agar bisa mengajukan (Subsisdi);Saran;Divalidasi
59;1;Jl. Petamburan VI;PETAMBURAN;Jika Sudah pensiun beralih ke BPJS (PBI);Usulan Kegiatan;Divalidasi
60;1;Jl Lautze Dalam RT 014/007 Kartini,Sawah Besar Jakarta Pusat;KARANG ANYAR;Bantuan Hadroh;Usulan Kegiatan;Divalidasi
61;1;Jl Petojo Utara 7 RT 003/003 Petojo Utara,Gambir Jakarta Pusat;PETOJO UTARA;KJMU;Usulan Kegiatan;Divalidasi
62;1;Jl Gang IV RT 005/007 Kartini Sawah Besar Jakarta Pusat;KARTINI;Rumah Subsidi atau sewa rusun;Tanggapan;Divalidasi
63;1;Jl Gang A III RT 007/002 Kartini Sawah Besar Jakarta Pusat;KARTINI;Pedagang kaki lima kena razia;Tanggapan;Divalidasi
64;1;Jl Gang A III RT 002/007 Kartini,Sawah Besar Jakarta Pusat;KARTINI;Program PTSL;Saran;Divalidasi
65;1;JL A Gang A VII RT 006/007 Kartini, Sawah Besar Jakarta Pusat;KARTINI;Posyandu butuh Alat Tensi Darah;Saran;Divalidasi
66;1;Jl Tongkang RT 014/001 Kramat, Senen Jakarta Pusat;KRAMAT;BPJS menunggak;Usulan Kegiatan;Divalidasi
67;1;Jl Tongkang RT 012/001 Kramat, Senen Jakarta Pusat;KRAMAT;Bantuan Tenis Meja;Usulan Kegiatan;Divalidasi
68;1;Jl Utan Panjang RT 007/005 Utan Panjang Kemayoran Jakarta Pusat;UTAN PANJANG;Ijazah Tertahan;Usulan Kegiatan;Divalidasi
69;1;JL Utan Panjang 3 RT 013/005 Utan Panjang, Kemayoran Jakarta Pusat;UTAN PANJANG;BPJS menunggak;Usulan Kegiatan;Divalidasi
70;1;Jl Percetakan Negara RT 007/005 Rawasari, Cempaka Putih Jakarta Pusat;RAWA SARI;Renovasi Lapangan;Usulan Kegiatan;Divalidasi
71;1;Jl Percetakan Negara RT 006/005 Rawasari ,Cempaka Putih Jakarta Pusat;RAWA SARI;Pelatihan usaha;Usulan Kegiatan;Divalidasi
72;1;Jl Kampung Rawa RT 004/008 Kampung Rawa, Johar Baru Jakarta Pusat;KAMPUNG RAWA;Bantuan Alat Timbang;Usulan Kegiatan;Divalidasi
73;1;Jl Kampung Rawa RT 015/003 Kmapung Rawa, Johar Baru Jakarta Pusat;KAMPUNG RAWA;Bantuan Hadroh;Usulan Kegiatan;Divalidasi
74;1;Jl Kembang sepatu Tongkang RT 008/001 Kramat,Senen Jkarta Pusat;KRAMAT;Butuh Kursi Roda;Usulan Kegiatan;Divalidasi
75;1;Jl Kembang Sepatu RT 002/001 Kramat, Senen Jakarta Pusat;KRAMAT;Belum dapat Kartu Lansia Jakarta;Usulan Kegiatan;Divalidasi
76;1;Jl. Matraman Jaya;PEGANGSAAN;Sosialisasi Usaha Perdagangan;Usulan Kegiatan;Divalidasi
77;1;Jl. Matraman Jaya;PEGANGSAAN;Sosialisasi Usaha Perdagangan;Usulan Kegiatan;Divalidasi
78;1;Kramat Pulo Gg. 14;KRAMAT;Pengadaan tenda untuk kegiatan warga setempat terutama peristiwa kemalangan (kematian);Usulan Kegiatan;Divalidasi
79;1;Kramat Pulo Gang XI;KRAMAT;Pengadaan tenda untuk kegiatan warga setempat terutama peristiwa kemalangan (kematian);Usulan Kegiatan;Divalidasi
80;1;Jl. Rawa Sawah;KAMPUNG RAWA;Pengadaan tenda untuk kegiatan warga setempat terutama peristiwa kemalangan (kematian);Usulan Kegiatan;Divalidasi
81;1;Jl. Rawa Sawah;KAMPUNG RAWA;Pengadaan tenda untuk kegiatan warga setempat terutama peristiwa kemalangan (kematian);Usulan Kegiatan;Divalidasi
82;1;Jl. Kramat Sentiong VII No. H31;KRAMAT;Pengadaan tenda untuk kegiatan warga setempat terutama peristiwa kemalangan (kematian);Usulan Kegiatan;Divalidasi
83;1;Jl. Matraman Jaya;PEGANGSAAN;Pengadaan speaker kecil untuk penyampaian informasi di area pemukiman;Usulan Kegiatan;Divalidasi
84;1;Jl. Kramat Sentiong VII;KRAMAT;Pengadaan Sound System Set;Usulan Kegiatan;Divalidasi
85;1;Jl. Matraman Jaya;PEGANGSAAN;Pengadaan sekretariat untuk kegiatan warga dan remaja setempat;Usulan Kegiatan;Divalidasi
86;1;Jl. Matraman Jaya;PEGANGSAAN;Pengadaan perlengkapan makan untuk kegiatan warga;Usulan Kegiatan;Divalidasi
87;1;Jl. Rawa Sawah;KAMPUNG RAWA;Pengadaan Kursi Plastik untuk kegiatan warga;Usulan Kegiatan;Divalidasi
88;1;Jl. Rawa Sawah;KAMPUNG RAWA;Pengadaan Kursi Plastik untuk kegiatan warga;Usulan Kegiatan;Divalidasi
89;1;Jl. Matraman Jaya;PEGANGSAAN;Pengadaan Kursi Plastik untuk kegiatan warga;Usulan Kegiatan;Divalidasi
90;1;Kramat Pulo Gg. 14;KRAMAT;Pengadaan Kursi Plastik untuk kegiatan warga;Usulan Kegiatan;Divalidasi
91;1;Kramat Pulo Gang XI;KRAMAT;Pengadaan Kursi Plastik untuk kegiatan warga;Usulan Kegiatan;Divalidasi
92;1;Jl. Kemayoran Barat III;KEMAYORAN;Pengadaan Kursi Plastik untuk kegiatan warga;Usulan Kegiatan;Divalidasi
93;1;Jl. Kemayoran Barat 12;KEMAYORAN;Pengadaan Kursi Plastik untuk kegiatan warga;Usulan Kegiatan;Divalidasi
94;1;Jl. Matraman Jaya;PEGANGSAAN;Pengadaan Kursi Plastik dan meja lipat untuk kegiatan warga;Usulan Kegiatan;Divalidasi
95;1;Jl. Matraman Jaya;PEGANGSAAN;Pengadaan Karpet untuk kegiatan warga dan majelis;Usulan Kegiatan;Divalidasi
96;1;Kramat Pulo Gang XI;KRAMAT;Pengadaan CCTV;Usulan Kegiatan;Divalidasi
97;1;Jl. Rawa Sawah;KAMPUNG RAWA;Pengadaan CCTV;Usulan Kegiatan;Divalidasi
98;1;Jl. Rawa Sawah;KAMPUNG RAWA;Pengadaan CCTV;Usulan Kegiatan;Divalidasi
99;1;Jl. Matraman Jaya;PEGANGSAAN;Pengadaan CCTV;Usulan Kegiatan;Divalidasi
100;1;Jl. Kemayoran Barat 12;KEMAYORAN;Pengadaan CCTV;Usulan Kegiatan;Divalidasi
101;1;Jl. Talang;PEGANGSAAN;Pengadaan Alat Pemadam Api Ringan;Usulan Kegiatan;Divalidasi
102;1;Jl. Matraman Jaya;PEGANGSAAN;Pelaksanaan kegiatan turnamen olahraga setiap tahun;Usulan Kegiatan;Divalidasi
103;1;Jl. Matraman Jaya;PEGANGSAAN;Bantuan penyediaan air bersih;Usulan Kegiatan;Divalidasi
104;1;Jl. Matraman Jaya;PEGANGSAAN;Bantuan pengadaan mesin air & toren;Usulan Kegiatan;Divalidasi
105;1;Jl. Matraman Jaya;PEGANGSAAN;Bantuan biaya SEMBAKO dengan pelaksanaan Pasar Sembako Murah setiap bulannya;Usulan Kegiatan;Divalidasi
106;1;Jl. Matraman Jaya;PEGANGSAAN;Bantuan biaya pendidikan hingga kuliah;Usulan Kegiatan;Divalidasi
107;1;RW. 07 Kelurahan Serdang;SERDANG;Pelatihan Tata Rias Pengantin;Usulan Kegiatan;Divalidasi
108;1;RW. 07 Kelurahan Serdang;SERDANG;Pengadaan Gerobak Sampah;Usulan Kegiatan;Divalidasi
109;1;RW. 03 Kelurahan Serdang;SERDANG;Pengadaan Tenis Meja;Usulan Kegiatan;Divalidasi
110;1;RW. 03 Kelurahan Serdang;SERDANG;Pengadaan CCTV Untuk Lingkungan;Usulan Kegiatan;Divalidasi
111;1;RW. 03 Kelurahan Serdang;SERDANG;Pengadaan Hadroh;Usulan Kegiatan;Divalidasi
112;1;Rt.03 Rw.05 Kramat;KRAMAT;Pengadaan pot kembang;Usulan Kegiatan;Divalidasi
113;1;Rt.03 Rw.05 Kramat;KRAMAT;Perbaikan / Renovasi MCK;Usulan Kegiatan;Divalidasi
114;1;Rt.03 Rw.05 Kramat;KRAMAT;Pengadaan Bak Sampah;Usulan Kegiatan;Divalidasi
115;1;Rt.03 Rw.05 Kramat;KRAMAT;Pengadaan Gerobak Sampah;Usulan Kegiatan;Divalidasi
116;1;Rw.04 Kel. Petamburan;PETAMBURAN;Pengadaan 1 unit HP Android untuk penunjang kegiatan;Usulan Kegiatan;Divalidasi
117;1;Rw.03 Kel Kampung Bali;KAMPUNG BALI;Pengadaan kursi lipat 100 unit;Usulan Kegiatan;Divalidasi
118;1;Rw.03 Kel Kampung Bali;KAMPUNG BALI;Pengadaan 1 unit sound sistem;Usulan Kegiatan;Divalidasi
119;1;Rw.03 Kel Kampung Bali;KAMPUNG BALI;Pembuatan pagar di pinggir sungai (50 meter);Usulan Kegiatan;Divalidasi
120;1;Rw.03 Kel Kampung Bali;KAMPUNG BALI;Pengadaan Meja Belajar Pengajian 20 unit;Usulan Kegiatan;Divalidasi
121;1;Rw.03 Kel Kampung Bali;KAMPUNG BALI;Pengadaan mimbar masjid Al Makmur;Usulan Kegiatan;Divalidasi
122;1;Rw.03 Kel Kampung Bali;KAMPUNG BALI;Pengadaan Kubah Masjid Al Makmur;Usulan Kegiatan;Divalidasi
123;1;Rw.03 Kel Kampung Bali;KAMPUNG BALI;Perbaikan 2 unit MCK dan pemasangan air bersih;Usulan Kegiatan;Divalidasi
124;1;Rw.03 Kel Kampung Bali;KAMPUNG BALI;Pengadaan Kursi Lipat 50 unit;Usulan Kegiatan;Divalidasi
125;1;Rw.03 Kel Kampung Bali;KAMPUNG BALI;Pembuatan pagar di pinggir sungai (50 meter);Usulan Kegiatan;Divalidasi
126;1;Rw.03 Kel Kampung Bali;KAMPUNG BALI;Pengadaan 1 unit Pendingin Udara;Usulan Kegiatan;Divalidasi
127;1;Rw.03 Kel Kampung Bali;KAMPUNG BALI;Pengadaan Komputer dan printer untuk Paud Kejora;Usulan Kegiatan;Divalidasi
128;1;Rw.03 Kel Kampung Bali;KAMPUNG BALI;Pengadaan infocus untuk PAUD Kejora;Usulan Kegiatan;Divalidasi
129;1;Rw.03 Kel Kampung Bali;KAMPUNG BALI;Pengadaan 1 unit sound sistem untuk pendidikan PAUD Kejora;Usulan Kegiatan;Divalidasi
130;1;Rw.03 Kel Kampung Bali;KAMPUNG BALI;Pengadaan Kipas Angin 1 unit;Usulan Kegiatan;Divalidasi
131;1;Rw.03 Kel Kampung Bali;KAMPUNG BALI;Pengadaan Kursi Lipat 100 unit;Usulan Kegiatan;Divalidasi
132;1;Rw.03 Kel Kampung Bali;KAMPUNG BALI;Pengadaan 1 unit sound sistem untuk Masjid Hasbiallah;Usulan Kegiatan;Divalidasi
133;1;Rw.03 Kel Kampung Bali;KAMPUNG BALI;Pengadaan 4 unit alat Pendingin Udara 1/2 PK untuk Masjid Hasbiallah;Usulan Kegiatan;Divalidasi
134;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan Kursi Roda 1 unit;Usulan Kegiatan;Divalidasi
135;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan Kursi Roda 1 unit;Usulan Kegiatan;Divalidasi
136;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan alat hadroh;Usulan Kegiatan;Divalidasi
137;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan Kursi Roda 1 unit;Usulan Kegiatan;Divalidasi
138;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan Kursi Roda 1 unit;Usulan Kegiatan;Divalidasi
139;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan Speed Bumb;Usulan Kegiatan;Divalidasi
140;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan 1 unit tenis meja;Usulan Kegiatan;Divalidasi
141;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan Kursi Roda 1 unit;Usulan Kegiatan;Divalidasi
142;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan Speed Bumb;Usulan Kegiatan;Divalidasi
143;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan Kursi Roda 1 unit;Usulan Kegiatan;Divalidasi
144;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan Speed Bumb;Usulan Kegiatan;Divalidasi
145;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan I unit Sound Sistem;Usulan Kegiatan;Divalidasi
146;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan Kursi Roda 1 unit;Usulan Kegiatan;Divalidasi
147;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan Kursi Roda 1 unit;Usulan Kegiatan;Divalidasi
148;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan Speed Bumb;Usulan Kegiatan;Divalidasi
149;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan Kursi Roda 1 unit;Usulan Kegiatan;Divalidasi
150;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan Speed Bumb;Usulan Kegiatan;Divalidasi
151;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;pengadaan alat Hadroh;Usulan Kegiatan;Divalidasi
152;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan 2 unit Tenda Lipat;Usulan Kegiatan;Divalidasi
153;1;Rw.10 Kel. Utan Panjang;UTAN PANJANG;Pengadaan Kursi Roda;Usulan Kegiatan;Divalidasi
154;1;Rusun Dakota Kebon Kosong;KEBON KOSONG;pendampingan hukum terkait sengketa hutang piutang dengan PPKK;Usulan Kegiatan;Divalidasi
155;1;Rw.04 Kelurahan Senen;SENEN;Pembangunan PUSKESMAS Kelurahan Senen;Usulan Kegiatan;Divalidasi
156;1;Rw.02 Kelurahan senen;SENEN;Kuras saluran Rt.15,14,13 di Rw.04;Usulan Kegiatan;Divalidasi
157;1;Rw.02 Komplek PELNI;PETOJO UTARA;Pengaspalan;Usulan Kegiatan;Divalidasi
158;1;Rw,02 Komplek PELNI;PETOJO UTARA;CCTV;Usulan Kegiatan;Divalidasi
159;1;Rt.011/03 Cikini;CIKINI;Perbaikan data lansia;Usulan Kegiatan;Divalidasi
160;1;Rt.09/10;MANGGA DUA SELATAN;Perbaikan Pos Siskamling;Saran;Divalidasi
161;1;Rw.01 Kelurahan Kampung Rawa;KAMPUNG RAWA;lapangan Pekerjaan;Usulan Kegiatan;Divalidasi
162;1;Rt.07/Rw.07 Kelurahan Galur;GALUR;modal usaha;Usulan Kegiatan;Divalidasi
163;1;Rw.07 Kelurahan Galur;GALUR;Biaya perawatan gedung interaksi;Usulan Kegiatan;Divalidasi
164;1;Rw.07 Kelurahan Galur;GALUR;Permintaan Media tanam;Usulan Kegiatan;Divalidasi
165;1;Rw.07 Kelurahan Tanah Tinggi;TANAH TINGGI;Air PAM Bermasalah ,tidak Keluar diwilayah kami.;Usulan Kegiatan;Divalidasi
166;1;Rw.08 Kelurahan Cempaka Baru;CEMPAKA BARU;PTSL sudah 4 Tahun belum jadi;Usulan Kegiatan;Divalidasi
167;1;Rw.08 Kelurahan Cempaka Baru;CEMPAKA BARU;Permintaan Bedah Rumah;Usulan Kegiatan;Divalidasi
168;1;Rw.08 Kelurahan Cempaka Baru;CEMPAKA BARU;Operasional Dasawisma agar dinaikan;Usulan Kegiatan;Divalidasi
169;1;Rw.08 Kelurahan Cempaka Baru;CEMPAKA BARU;Permintaan APAR ( Alat Pemadam Ringan );Usulan Kegiatan;Divalidasi
170;1;Rt.003/05 Kelurahan Kemayoran;KEMAYORAN;Sengketa lahan warga Rw,05 dengan pihak yang mengklim hak atas tanah warga.;Usulan Kegiatan;Divalidasi
171;1;Rt.003/05 Kelurahan Kemayoran;KEMAYORAN;Air PAM Bermasalah ,tidak Keluar diwilayah kami.;Usulan Kegiatan;Divalidasi
172;1;Rt.03/05 Kemayoran;KEMAYORAN;Wc umum yang salurannya mampet.;Usulan Kegiatan;Divalidasi
173;1;Rw.08 Harapan Mulia;HARAPAN MULIA;Sembako Pangan Murah;Usulan Kegiatan;Divalidasi
174;1;Jl.Gg.Mohammad Ali 1 No.24;TANAH TINGGI;Penebusan Ijazah;Usulan Kegiatan;Divalidasi
175;1;Rw.08 Harapan Mulia;HARAPAN MULIA;Permintaan Meja dan Kursi;Usulan Kegiatan;Divalidasi
176;1;Rw.08 Harapan Mulia;HARAPAN MULIA;Permintaan tempat pembuangan Sampah di Lokbin Cempaka Sari ,Harapan Mulia.;Usulan Kegiatan;Divalidasi
177;1;Rw.08 Harapan Mulia;HARAPAN MULIA;Permintaan Pompa Air dan Pembuatan kamar kecil.;Usulan Kegiatan;Divalidasi
178;1;Rt.016/08;HARAPAN MULIA;Permintaan kursi Roda.;Usulan Kegiatan;Divalidasi
179;1;Rt.03/03 Kelurahan Sumur Batu;SUMUR BATU;Penataan Arus Lalu lintas di Jln.Mutiara.;Usulan Kegiatan;Divalidasi
180;1;Rw.04 Kelurahan Sumur Batu;SUMUR BATU;Pengadaan Gerobak Sampah.;Usulan Kegiatan;Divalidasi
181;1;Rt.004/03 Kelurahan Sumur Batu;SUMUR BATU;Pengadaan Hidran Di RT.004/Rw.03.;Usulan Kegiatan;Divalidasi
182;1;Rt.004/03 Kelurahan Sumur Batu;SUMUR BATU;Mohon Disediakan Sekolah SMP Dan SMU Negri Di Wilayah Kelurahan Sumur Batu.;Usulan Kegiatan;Divalidasi
183;1;Rt.004/03 Kelurahan Sumur Batu;SUMUR BATU;Operasional Guru PAUD.;Usulan Kegiatan;Divalidasi
184;1;Jl. Kartini 5;KARTINI;Permohonan kursi roda inventaris RW;Usulan Kegiatan;Divalidasi
185;1;Jl. Kartini 5;KARTINI;Penambahan jalur PPDB  untuk SMA/SMK;Usulan Kegiatan;Divalidasi
186;1;Jl. Kartini 5;KARTINI;Bantuan timbangan lansia;Usulan Kegiatan;Divalidasi
187;1;Jl. Baladewa Kiri I;TANAH TINGGI;Belum pernah mendapat bantuan sosial dan ingin mengajukan KJP;Usulan Kegiatan;Divalidasi
188;1;Jl. Baladewa Kiri I;TANAH TINGGI;Sudah dapat PKH tapi tidak keluar saldonya;Tanggapan;Divalidasi
189;1;Jl. Baladewa Kiri I;TANAH TINGGI;Bantuan PIP;Usulan Kegiatan;Divalidasi
190;1;Jl. Baladewa Kiri I;TANAH TINGGI;Bantuan Sosial belum pernah dapat;Tanggapan;Divalidasi
191;1;Jl. Lapangan Pors;SERDANG;Insentif untuk imam dan marbot masjid supaya bisa mendapatkan insentif dari pemerintah;Usulan Kegiatan;Divalidasi
192;1;Jl. Lapangan Pors;SERDANG;Revitalisasi Musholla/Perbesar Musholla;Usulan Kegiatan;Divalidasi
193;1;Jl. Lapangan Pors;SERDANG;Kursi roda dan alat oksigen untun inventaris RW;Usulan Kegiatan;Divalidasi
194;1;Jl. Lapangan Pors;SERDANG;Sudah 2 Tahun KJP di non-aktifkan;Tanggapan;Divalidasi
195;1;Jl. Dakota 3;KEBON KOSONG;Perbaikan Saluran Drainase;Usulan Kegiatan;Divalidasi
196;1;Jl. Dakota 2;KEBON KOSONG;Perbaikan Jalan dan pengaspalan;Usulan Kegiatan;Divalidasi
197;1;Jl. Dakota Raya;KEBON KOSONG;Pelatihan Kerja Padat karya;Usulan Kegiatan;Divalidasi
198;1;Jl. Dakota Raya;KEBON KOSONG;Sosialisasi PAM Jaya;Usulan Kegiatan;Divalidasi
199;1;Jl. Dakota 2;KEBON KOSONG;Pengajuan UMKM atau Bantuan UMKM;Usulan Kegiatan;Divalidasi
